event,trigger_type,readout_type,global_timestamp
10000,Unknown,None,1533762125
10001,Unknown,None,1533762125
10002,Unknown,None,1533762125
10003,Unknown,None,1533762125
10004,Unknown,None,1533762125
10005,Unknown,None,1533762125
10006,Unknown,None,1533762125
10007,Unknown,None,1533762125
10008,Unknown,None,1533762125
10009,Unknown,None,1533762125
10010,Unknown,None,1533762125
10011,Unknown,None,1533762125
10012,Unknown,None,1533762125
10013,Unknown,None,1533762125
10014,Unknown,None,1533762125
10015,Unknown,None,1533762125
10016,Unknown,None,1533762125
10017,Unknown,None,1533762125
10018,Unknown,None,1533762125
10019,Unknown,None,1533762125
10020,Unknown,None,1533762125
10021,Unknown,None,1533762125
10022,Unknown,None,1533762125
10023,Unknown,None,1533762125
10024,Unknown,None,1533762125
10025,Unknown,None,1533762125
10026,Unknown,None,1533762125
10027,Unknown,None,1533762125
10028,Unknown,None,1533762125
10029,Unknown,None,1533762125
10030,Unknown,None,1533762125
10031,Unknown,None,1533762125
10032,Unknown,None,1533762125
10033,Unknown,None,1533762125
10034,Unknown,None,1533762125
10035,Unknown,None,1533762125
10036,Unknown,None,1533762125
10037,Unknown,None,1533762125
10038,Unknown,None,1533762125
10039,Unknown,None,1533762125
10040,Unknown,None,1533762125
10041,Unknown,None,1533762125
10042,Unknown,None,1533762125
10043,Unknown,None,1533762125
10044,Unknown,None,1533762125
10045,Unknown,None,1533762125
10046,Unknown,None,1533762125
10047,Unknown,None,1533762125
10048,Unknown,None,1533762125
10049,Unknown,None,1533762125
10050,Unknown,None,1533762125
10051,Unknown,None,1533762125
10052,Unknown,None,1533762125
10053,Unknown,None,1533762125
10054,Unknown,None,1533762125
10055,Unknown,None,1533762125
10056,Unknown,None,1533762125
10057,Unknown,None,1533762125
10058,Unknown,None,1533762125
10059,Unknown,None,1533762125
10060,Unknown,None,1533762125
10061,Unknown,None,1533762125
10062,Unknown,None,1533762125
10063,Unknown,None,1533762125
10064,Unknown,None,1533762125
10065,Unknown,None,1533762125
10066,Unknown,None,1533762125
10067,Unknown,None,1533762125
10068,Unknown,None,1533762125
10069,Unknown,None,1533762125
10070,Unknown,None,1533762125
10071,Unknown,None,1533762125
10072,Unknown,None,1533762125
10073,Unknown,None,1533762125
10074,Unknown,None,1533762125
10075,Unknown,None,1533762125
10076,Unknown,None,1533762125
10077,Unknown,None,1533762125
10078,Unknown,None,1533762125
10079,Unknown,None,1533762125
10080,Unknown,None,1533762126
10081,Unknown,None,1533762126
10082,Unknown,None,1533762126
10083,Unknown,None,1533762126
10084,Unknown,None,1533762126
10085,Unknown,None,1533762126
10086,Unknown,None,1533762126
10087,Unknown,None,1533762126
10088,Unknown,None,1533762126
10089,Unknown,None,1533762126
10090,Unknown,None,1533762126
10091,Unknown,None,1533762126
10092,Unknown,None,1533762126
10093,Unknown,None,1533762126
10094,Unknown,None,1533762126
10095,Unknown,None,1533762126
10096,Unknown,None,1533762126
10097,Unknown,None,1533762126
10098,Unknown,None,1533762126
10099,Unknown,None,1533762126
