event, trigger_type, readout_type, global_timestamp
10000, Physics, None, 1533761883
10001, Physics, None, 1533761883
10002, Physics, None, 1533761883
10003, Physics, None, 1533761883
10004, Physics, None, 1533761883
10005, Physics, None, 1533761883
10006, Physics, None, 1533761883
10007, Physics, None, 1533761883
10008, Physics, None, 1533761883
10009, Physics, None, 1533761883
10010, Physics, None, 1533761883
10011, Physics, None, 1533761883
10012, Physics, None, 1533761883
10013, Physics, None, 1533761883
10014, Physics, None, 1533761883
10015, Physics, None, 1533761883
10016, Physics, None, 1533761883
10017, Physics, None, 1533761883
10018, Physics, None, 1533761883
10019, Physics, None, 1533761883
10020, Physics, None, 1533761884
10021, Physics, None, 1533761884
10022, Physics, None, 1533761884
10023, Physics, None, 1533761884
10024, Physics, None, 1533761884
10025, Physics, None, 1533761884
10026, Physics, None, 1533761884
10027, Physics, None, 1533761884
10028, Physics, None, 1533761884
10029, Physics, None, 1533761884
10030, Physics, None, 1533761884
10031, Physics, None, 1533761884
10032, Physics, None, 1533761884
10033, Physics, None, 1533761884
10034, Physics, None, 1533761884
10035, Physics, None, 1533761884
10036, Physics, None, 1533761884
10037, Physics, None, 1533761884
10038, Physics, None, 1533761884
10039, Physics, None, 1533761884
10040, Physics, None, 1533761885
10041, Physics, None, 1533761885
10042, Physics, None, 1533761885
10043, Physics, None, 1533761885
10044, Physics, None, 1533761885
10045, Physics, None, 1533761885
10046, Physics, None, 1533761885
10047, Physics, None, 1533761885
10048, Physics, None, 1533761885
10049, Physics, None, 1533761885
10050, Physics, None, 1533761885
10051, Physics, None, 1533761885
10052, Physics, None, 1533761885
10053, Physics, None, 1533761885
10054, Physics, None, 1533761885
10055, Physics, None, 1533761885
10056, Physics, None, 1533761885
10057, Physics, None, 1533761885
10058, Physics, None, 1533761885
10059, Physics, None, 1533761885
10060, Physics, None, 1533761886
10061, Physics, None, 1533761886
10062, Physics, None, 1533761886
10063, Physics, None, 1533761886
10064, Physics, None, 1533761886
10065, Physics, None, 1533761886
10066, Physics, None, 1533761886
10067, Physics, None, 1533761886
10068, Physics, None, 1533761886
10069, Physics, None, 1533761886
10070, Physics, None, 1533761886
10071, Physics, None, 1533761886
10072, Physics, None, 1533761886
10073, Physics, None, 1533761886
10074, Physics, None, 1533761886
10075, Physics, None, 1533761886
10076, Physics, None, 1533761886
10077, Physics, None, 1533761886
10078, Physics, None, 1533761886
10079, Physics, None, 1533761886
10080, Physics, None, 1533761887
10081, Physics, None, 1533761887
10082, Physics, None, 1533761887
10083, Physics, None, 1533761887
10084, Physics, None, 1533761887
10085, Physics, None, 1533761887
10086, Physics, None, 1533761887
10087, Physics, None, 1533761887
10088, Physics, None, 1533761887
10089, Physics, None, 1533761887
10090, Physics, None, 1533761887
10091, Physics, None, 1533761887
10092, Physics, None, 1533761887
10093, Physics, None, 1533761887
10094, Physics, None, 1533761887
10095, Physics, None, 1533761887
10096, Physics, None, 1533761887
10097, Physics, None, 1533761887
10098, Physics, None, 1533761887
10099, Physics, None, 1533761887
