filename,size,rseries
07180808_1846_F0002,171.014MiB,R68
07180808_1846_F0003,175.530MiB,R68
07180808_1846_F0004,169.346MiB,R68
07180808_1846_F0005,173.328MiB,R68
07180808_1846_F0006,170.269MiB,R68
07180808_1846_F0007,175.810MiB,R68
07180808_1846_F0008,174.872MiB,R68
07180808_1846_F0009,160.631MiB,R68
07180808_1846_F0010,138.014MiB,R68
07180808_1856_F0001,44.562MiB,R68
07180808_1856_F0002,169.246MiB,R68
07180808_1856_F0003,167.007MiB,R68
07180808_1856_F0004,173.388MiB,R68
07180808_1856_F0005,170.196MiB,R68
07180808_1856_F0006,173.634MiB,R68
07180808_1856_F0007,174.532MiB,R68
07180808_1856_F0008,171.994MiB,R68
07180808_1856_F0009,176.961MiB,R68
07180808_1856_F0010,136.697MiB,R68
07180808_1906_F0001,48.789MiB,R68
07180808_1906_F0002,176.098MiB,R68
07180808_1906_F0003,166.394MiB,R68
07180808_1906_F0004,169.403MiB,R68
07180808_1906_F0005,171.423MiB,R68
07180808_1906_F0006,164.511MiB,R68
07180808_1906_F0007,170.674MiB,R68
07180808_1906_F0008,177.338MiB,R68
07180808_1906_F0009,170.404MiB,R68
07180808_1906_F0010,146.686MiB,R68
07180808_1955_F0001,42.276MiB,R68
07180808_1955_F0002,150.118MiB,R68
07180808_1955_F0003,149.644MiB,R68
07180808_1955_F0004,145.034MiB,R68
07180808_1955_F0005,150.789MiB,R68
07180808_1955_F0006,153.186MiB,R68
07180808_1955_F0007,151.065MiB,R68
07180808_1955_F0008,153.598MiB,R68
07180808_1955_F0009,149.499MiB,R68
07180808_1955_F0010,124.431MiB,R68
07180808_2005_F0001,38.511MiB,R68
07180808_2005_F0002,154.568MiB,R68
07180808_2005_F0003,161.082MiB,R68
07180808_2005_F0004,148.711MiB,R68
07180808_2005_F0005,148.128MiB,R68
07180808_2005_F0006,159.060MiB,R68
07180808_2005_F0007,157.003MiB,R68
07180808_2005_F0008,159.998MiB,R68
07180808_2005_F0009,155.162MiB,R68
07180808_2005_F0010,134.291MiB,R68
07180808_2016_F0001,43.854MiB,R68
07180808_2016_F0002,163.043MiB,R68
07180808_2016_F0003,162.817MiB,R68
07180808_2016_F0004,163.968MiB,R68
07180808_2016_F0005,155.177MiB,R68
07180808_2016_F0006,165.602MiB,R68
07180808_2016_F0007,165.177MiB,R68
07180808_2016_F0008,162.839MiB,R68
07180808_2016_F0009,160.830MiB,R68
07180808_2016_F0010,134.276MiB,R68
07180808_2026_F0001,45.803MiB,R68
07180808_2026_F0002,168.276MiB,R68
07180808_2026_F0003,168.428MiB,R68
07180808_2026_F0004,167.456MiB,R68
07180808_2026_F0005,159.336MiB,R68
07180808_2026_F0006,166.010MiB,R68
07180808_2026_F0007,163.311MiB,R68
07180808_2026_F0008,174.830MiB,R68
07180808_2026_F0009,161.741MiB,R68
07180808_2026_F0010,137.276MiB,R68
07180808_2036_F0001,47.122MiB,R68
07180808_2036_F0002,173.644MiB,R68
07180808_2036_F0003,180.941MiB,R68
07180808_2036_F0004,175.672MiB,R68
07180808_2036_F0005,175.130MiB,R68
07180808_2036_F0006,175.989MiB,R68
07180808_2036_F0007,169.266MiB,R68
07180808_2036_F0008,174.586MiB,R68
07180808_2036_F0009,174.336MiB,R68
07180808_2036_F0010,142.267MiB,R68
07180808_2046_F0001,34.766MiB,R68
07180808_2046_F0002,177.244MiB,R68
07180808_2046_F0003,173.672MiB,R68
07180808_2046_F0004,146.905MiB,R68
07180808_2046_F0005,175.608MiB,R68
07180808_2046_F0006,170.080MiB,R68
07180808_2046_F0007,169.052MiB,R68
07180808_2046_F0008,175.657MiB,R68
07180808_2046_F0009,177.328MiB,R68
07180808_2046_F0010,143.665MiB,R68
07180808_2056_F0001,42.698MiB,R68
07180808_2056_F0002,171.314MiB,R68
07180808_2056_F0003,173.719MiB,R68
07180808_2056_F0004,171.639MiB,R68
07180808_2056_F0005,176.451MiB,R68
07180808_2056_F0006,173.067MiB,R68
07180808_2056_F0007,170.574MiB,R68
07180808_2056_F0008,165.065MiB,R68
07180808_2056_F0009,170.877MiB,R68
07180808_2056_F0010,158.423MiB,R68
07180808_2106_F0001,47.044MiB,R68
07180808_2106_F0002,166.701MiB,R68
07180808_2106_F0003,179.100MiB,R68
07180808_2106_F0004,172.099MiB,R68
07180808_2106_F0005,175.916MiB,R68
07180808_2106_F0006,167.907MiB,R68
07180808_2106_F0007,172.961MiB,R68
07180808_2106_F0008,175.695MiB,R68
07180808_2106_F0009,166.987MiB,R68
07180808_2106_F0010,144.488MiB,R68
07180808_2116_F0001,43.511MiB,R68
07180808_2116_F0002,173.420MiB,R68
07180808_2116_F0003,170.764MiB,R68
07180808_2116_F0004,170.520MiB,R68
07180808_2116_F0005,165.385MiB,R68
07180808_2116_F0006,165.552MiB,R68
07180808_2116_F0007,168.171MiB,R68
07180808_2116_F0008,176.362MiB,R68
07180808_2116_F0009,179.573MiB,R68
07180808_2116_F0010,150.073MiB,R68
07180808_2126_F0001,47.203MiB,R68
07180808_2126_F0002,171.068MiB,R68
07180808_2126_F0003,173.900MiB,R68
07180808_2126_F0004,174.916MiB,R68
07180808_2126_F0005,165.301MiB,R68
07180808_2126_F0006,172.612MiB,R68
07180808_2126_F0007,169.890MiB,R68
07180808_2126_F0008,178.401MiB,R68
07180808_2126_F0009,170.482MiB,R68
07180808_2126_F0010,142.688MiB,R68
07180808_2136_F0001,45.979MiB,R68
07180808_2136_F0002,182.769MiB,R68
07180808_2136_F0003,175.939MiB,R68
07180808_2136_F0004,171.569MiB,R68
07180808_2136_F0005,177.530MiB,R68
07180808_2136_F0006,172.745MiB,R68
07180808_2136_F0007,172.472MiB,R68
07180808_2136_F0008,173.096MiB,R68
07180808_2136_F0009,172.084MiB,R68
07180808_2136_F0010,148.178MiB,R68
07180808_2147_F0001,48.376MiB,R68
07180808_2147_F0002,170.600MiB,R68
07180808_2147_F0003,177.782MiB,R68
07180808_2147_F0004,179.313MiB,R68
07180808_2147_F0005,181.991MiB,R68
07180808_2147_F0006,174.227MiB,R68
07180808_2147_F0007,167.149MiB,R68
07180808_2147_F0008,177.823MiB,R68
07180808_2147_F0009,176.466MiB,R68
07180808_2147_F0010,142.963MiB,R68
07180808_2236_F0001,40.647MiB,R68
07180808_2236_F0002,141.208MiB,R68
07180808_2236_F0003,150.942MiB,R68
07180808_2236_F0004,150.316MiB,R68
07180808_2236_F0005,146.852MiB,R68
07180808_2236_F0006,144.711MiB,R68
07180808_2236_F0007,156.081MiB,R68
07180808_2236_F0008,152.302MiB,R68
07180808_2236_F0009,153.838MiB,R68
07180808_2236_F0010,123.462MiB,R68
07180808_2246_F0001,47.625MiB,R68
07180808_2246_F0002,167.020MiB,R68
07180808_2246_F0003,165.093MiB,R68
07180808_2246_F0004,156.003MiB,R68
07180808_2246_F0005,156.690MiB,R68
07180808_2246_F0006,156.470MiB,R68
07180808_2246_F0007,158.738MiB,R68
07180808_2246_F0008,159.000MiB,R68
07180808_2246_F0009,157.459MiB,R68
07180808_2246_F0010,134.861MiB,R68
07180808_2256_F0001,34.841MiB,R68
